
Quelle commande permet d'afficher le contenu d'un répertoire sous Linux?|pwd|ls|cd| mkdir|2|


Quelle commande permet de créer un nouveau dossier?|touch|rm|mkdir|cp|3


Quelle commande permet de créer un fichier vide ?|touch|mv|cat|pwd|1

 Quelle commande permet de supprimer un fichier?|delete|erase|rm|del|3


Quelle commande permet de copier un fichier?|mv|cp|copy|clone|2


Quelle commande permet de déplacer ou rennomer un fichier?|mv|cp|rm|pwd|1


Quelle commande affiche le chemin du répertoire courant?|where|ls|pwd|cd|3

Quelle commande permet de changer de répertoire?|mv|cd|dir|pwd|2


Quelle commande permet d'afficher le contenu d'un fichier texte?|cat|show|open|read|1


Quelle commande permet de supprimer un dossier vide?|rmdir|rmfile|deletedir|mkdir|1

