
Quel raccourci clavier permet de séléctionner tout le texte dans un document ?|Crtl + S|Crtl + A|Crtl + N|Crtl +T|2

Quelle logiciel est souvent utilisé pour le traitement de texte sous Linux ?|Photoshop|LibreOffice Writer|VLC|GIMP|b

Quel raccourci clavier permet de copier du texte?|Crtl + X|Crtl + V|Ctrl + C|Crtl + Z|3


Quel raccourci clavier permet de coller du texte ?|Crtl + V|Crtl + P|Crtl +S|Crtl + D|1

Quelle commande Linux permet d'afficher le contenu d'un fichier texte?|mkdir|cat|rm|pwd|2

Quel logiciel en mode terminal permet de modifier un ficher texte facilement ?|Firefox|Nano|Steam|Calculator|2

Quel commande Linux permet de rechercher de mot dans un fichier texte ?| grep|chmod|sudo|clear|1


Quel raccourci clavier permet d'enregistrer un document ?|Ctrl + E|Ctrl + S|Ctrl + R|Ctrl + W|2

Quelle commande Linux affiche la liste des fichiers d'un dossier?|cd|ls|echo|mv|2

Quel format est souvent ulitisé pour exporter un document non modifiable?|.mp4|.pdf|.png"|.zip|2

    
   
